"","latinSquare","faceGender","faceStyle","skinDetails","skinColor","hairColor","eyeColor","eyeShape","eyeOpening","eyeSize","eyeHeight","eyeDistance","eyeDepth","eyeRotation","eyebrowsColor","eyebrowsShape","eyebrowsLine","noseShape","noseLength","noseWidth","noseBridge","noseCartilage","foreheadHeight","cheeksBone","jawShape","jawChin","jawLength","throatSize","earSize","mouthVolume","lipRatio","mouthOverlap","mouthWidth","mouthHeight","mouthDepth","eyeShadow","lipStick","rouge"
"11","RobotM",0.961538461538462,0,0.5,0.884615384615385,0.961538461538462,0.214285714285714,0.197802197802198,0.236263736263736,0.43956043956044,0.56043956043956,0.472527472527472,0.692307692307692,0.456043956043956,0.945054945054945,0.43956043956044,0.851648351648352,0.510989010989011,0.587912087912088,0.686813186813187,0.60989010989011,0.274725274725275,0.620879120879121,0.302197802197802,0.67032967032967,0.659340659340659,0.417582417582418,0.659340659340659,0.615384615384615,0.406593406593407,0.428571428571429,0.28021978021978,0.164835164835165,0.615384615384615,0.554945054945055,0,0,0
"12","SiriF",0,0,0.214285714285714,0.813186813186813,0.89010989010989,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.214285714285714,0.236263736263736,0.21978021978022
"13","AlexaF",0.186813186813187,0.181318681318681,0.181318681318681,0.752747252747253,0.0934065934065934,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.197802197802198,0.208791208791209,0.175824175824176
"14","GoogleF",0,0,0.346153846153846,0.934065934065934,0.39010989010989,0.703296703296703,0.664835164835165,0.417582417582418,0.351648351648352,0.659340659340659,0.362637362637363,0.340659340659341,0.362637362637363,0.401098901098901,0.554945054945055,0.483516483516484,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.741758241758242,0.725274725274725,0.752747252747253,0.5,0.5,0.5,0.467032967032967,0.461538461538462,0.461538461538462
"15","SiriM",1,0,0.131868131868132,0.884615384615385,0.269230769230769,0.186813186813187,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.769230769230769,0.483516483516484,0.417582417582418,0.5,0.686813186813187,0.263736263736264,0.571428571428571,0.642857142857143,0.615384615384615,0.501831725403503,0.648351648351648,0.697802197802198,0.736263736263736,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0
"16","SiriM",1,0,0.565934065934066,0.5,0.181318681318681,0.166666666666667,0.582417582417582,0.5,0.56043956043956,0.5,0.571428571428571,0.5,0.5,0.351648351648352,0.653846153846154,0.604395604395604,0.549450549450549,0.571428571428571,0.571428571428571,0.642857142857143,0.5,0.675824175824176,0.725274725274725,0.489010989010989,0.60989010989011,0.538461538461538,0.384615384615385,0.5,0.571428571428571,0.543956043956044,0.5,0.5,0.5,0.5,0,0,0
"17","SiriF",0,0,0.5,0.5,0.5,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.236263736263736,0.203296703296703,0.357142857142857
"18","AlexaF",0.00549450549450549,0,0.5,0.818681318681319,0.620879120879121,0.626373626373626,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.664835164835165,0.39010989010989,0.637362637362637,0.5,0.5,0.5,0.5,0.5,0.5,0.659340659340659,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.197802197802198,0.197802197802198,0.175824175824176
"19","RobotM",1,0,0.5,0.5,0.0384615384615385,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0
"20","CortanaF",0.032967032967033,0,0.346153846153846,0.412087912087912,0.197802197802198,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.802197802197802,0.5,0.5,0.5,0.5,0.5,0.5,0.626373626373626,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.307692307692308,0.21978021978022,0.461538461538462
